year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2004,Massachusetts,"Kerry, John",democrat,1803800,2927455,"Bush, George W.",republican,1071109,732691,0.2502825833360376
2004,Massachusetts,"Kerry, John",democrat,1803800,2927455,"Bush, George W.",republican,1071109,732691,0.2502825833360376
2008,Massachusetts,"Obama, Barack H.",democrat,1904097,3102995,"McCain, John",republican,1108854,795243,0.2562823981347053
2008,Massachusetts,"Obama, Barack H.",democrat,1904097,3102995,"McCain, John",republican,1108854,795243,0.2562823981347053
2012,Massachusetts,"Obama, Barack H.",democrat,1921290,3184196,"Romney, Mitt",republican,1188314,732976,0.2301918600488161
2012,Massachusetts,"Obama, Barack H.",democrat,1921290,3184196,"Romney, Mitt",republican,1188314,732976,0.2301918600488161
2016,Massachusetts,"Clinton, Hillary",democrat,1995196,3378821,"Trump, Donald J.",republican,1090893,904303,0.2676386230581614
2016,Massachusetts,"Clinton, Hillary",democrat,1995196,3378821,"Trump, Donald J.",republican,1090893,904303,0.2676386230581614
2000,Michigan,"Gore, Al",democrat,2170418,4232501,"Bush, George W.",republican,1953139,217279,0.051335841385507064
2000,Michigan,"Gore, Al",democrat,2170418,4232501,"Bush, George W.",republican,1953139,217279,0.051335841385507064
2004,Michigan,"Kerry, John",democrat,2479183,4839252,"Bush, George W.",republican,2313746,165437,0.034186481712463024
2004,Michigan,"Kerry, John",democrat,2479183,4839252,"Bush, George W.",republican,2313746,165437,0.034186481712463024
2008,Michigan,"Obama, Barack H.",democrat,2872579,5001596,"McCain, John",republican,2048639,823940,0.1647354164550675
2008,Michigan,"Obama, Barack H.",democrat,2872579,5001596,"McCain, John",republican,2048639,823940,0.1647354164550675
2012,Michigan,"Obama, Barack H.",democrat,2564569,4730961,"Romney, Mitt",republican,2115256,449313,0.09497288183098529
2012,Michigan,"Obama, Barack H.",democrat,2564569,4730961,"Romney, Mitt",republican,2115256,449313,0.09497288183098529
2016,Michigan,"Trump, Donald J.",republican,2279543,4799284,"Clinton, Hillary",democrat,2268839,10704,0.00223033269129308
2016,Michigan,"Trump, Donald J.",republican,2279543,4799284,"Clinton, Hillary",democrat,2268839,10704,0.00223033269129308
2000,Minnesota,"Gore, Al",democratic-farmer-labor,1168266,2438685,"Bush, George W.",republican,1109659,58607,0.024032214082589598
2000,Minnesota,"Gore, Al",democratic-farmer-labor,1168266,2438685,"Bush, George W.",republican,1109659,58607,0.024032214082589598
2004,Minnesota,"Kerry, John",democratic-farmer-labor,1445014,2828387,"Bush, George W.",republican,1346695,98319,0.03476150894485086
2004,Minnesota,"Kerry, John",democratic-farmer-labor,1445014,2828387,"Bush, George W.",republican,1346695,98319,0.03476150894485086
2008,Minnesota,"Obama, Barack H.",democrat,1573354,2910369,"McCain, John",republican,1275409,297945,0.1023736165414077
2008,Minnesota,"Obama, Barack H.",democrat,1573354,2910369,"McCain, John",republican,1275409,297945,0.1023736165414077
2012,Minnesota,"Obama, Barack H.",democratic-farmer-labor,1546167,2936561,"Romney, Mitt",republican,1320225,225942,0.07694102046577611
2012,Minnesota,"Obama, Barack H.",democratic-farmer-labor,1546167,2936561,"Romney, Mitt",republican,1320225,225942,0.07694102046577611
2016,Minnesota,"Clinton, Hillary",democrat,1367705,2944782,"Trump, Donald J.",republican,1322949,44756,0.015198408574896238
2016,Minnesota,"Clinton, Hillary",democrat,1367705,2944782,"Trump, Donald J.",republican,1322949,44756,0.015198408574896238
2000,Mississippi,"Bush, George W.",republican,572844,994184,"Gore, Al",democrat,404614,168230,0.16921414949345398
2000,Mississippi,"Bush, George W.",republican,572844,994184,"Gore, Al",democrat,404614,168230,0.16921414949345398
2004,Mississippi,"Bush, George W.",republican,672660,1139824,"Kerry, John",democrat,457766,214894,0.18853261556170076
2004,Mississippi,"Bush, George W.",republican,672660,1139824,"Kerry, John",democrat,457766,214894,0.18853261556170076
2008,Mississippi,"McCain, John",republican,724597,1289865,"Obama, Barack H.",democrat,554662,169935,0.1317463455477899
2008,Mississippi,"McCain, John",republican,724597,1289865,"Obama, Barack H.",democrat,554662,169935,0.1317463455477899
2012,Mississippi,"Romney, Mitt",republican,710746,1285584,"Obama, Barack H.",democrat,562949,147797,0.11496487199591776
2012,Mississippi,"Romney, Mitt",republican,710746,1285584,"Obama, Barack H.",democrat,562949,147797,0.11496487199591776
